ac08_id,secc_cons_rural,secc_cons_pc_rural,secc_pov_rate_rural,secc_pov_rate_tend_rural,_mean_p_miss,_core_p_miss,_target_weight_share,_target_group_max_weight_share,_frag_pop_share
2008-19-066,62407.93129811788,14736.182965418195,0.4156056355974569,0.3183057213943483,0.0,0.0,0.9889904611121348,0.7986930537556782,0.0153057499192161
2008-19-067,60465.64061502515,14026.278681366224,0.5074377604960518,0.40727548450131734,0.0,0.0,0.9959390550858532,0.785931677731406,0.00518353706679
2008-19-068,63173.87067154028,14296.791511223735,0.4755567294682574,0.3873982048747129,0.0148721326144172,0.0148721326144172,0.9770736658993135,0.7986930537556782,0.0551964563382934
2008-19-069,58344.440885518045,13205.20618352449,0.5546845540659224,0.4550582351196291,0.0,0.0,0.9907141637891564,0.7986930537556782,0.0280723065458119
2008-19-070,71720.63338048845,15464.328942845446,0.3575738242677341,0.255111653064474,0.0,0.0,0.9668777191208492,0.7986930537556782,0.0670358620303469
2008-19-071,70165.65292788149,15451.359508052079,0.3624416208408848,0.25926167384980126,0.0,0.0,0.9540968786273388,0.7986930537556782,0.0887499722537976
2008-19-072,68863.70058954337,16548.40529332931,0.31206489405865234,0.22575620110932862,0.0,0.0,0.9621706590251282,0.7986930537556782,0.0704144592313939
2008-19-073,67348.33496842162,16214.5570088646,0.3263048578949434,0.2344928591924517,0.0,0.0,0.9130580926881596,0.7986930537556782,0.1705022857939537
2008-19-074,69285.7784333653,16119.421659787433,0.32977391391278055,0.24024426270212054,1.1102230246251563e-16,1.1102230246251563e-16,0.9183186860654456,0.7986930537556782,0.2087744773938971
2008-19-075,68974.73692410259,16918.02157135384,0.2911496492266388,0.21062389484192454,0.0,0.0,0.9046076928757428,0.7986930537556782,0.213674572408496
2008-19-076,64544.780536395236,15530.899701807908,0.3629664191806886,0.29262188050189714,0.0011288420002221,0.0011288420002221,0.976744737598446,0.7986930537556782,0.0810431159035936
2008-19-077,64291.28056053088,17154.006175555616,0.3023295148567792,0.2336366320355782,0.0,0.0,0.9415524185754426,0.7986930537556782,0.1401171958917907
2008-19-078,69063.72469464982,16986.23682395924,0.32879181762852905,0.2490132479028293,0.0,0.0,0.9807235285078572,0.7986930537556782,0.0657029162052729
